title;company;salary;payment_frequency;experience;employment;hiring_format;schedule;hours;work_format;skills;url;description
Менеджер по работе с клиентами;ООО Матурхан;От 1 500 Br за месяц на руки;Не указано;1 3 года;Полная занятость;Трудовой договор;5/2;8;На месте работодателя;Деловое общение, Телефонные переговоры, 1C: Предприятие 8, MS Word, MS Excel;https://grodno.rabota.by/vacancy/132117631;Обязанности: Оформление курьеров Яндекс-еда Ведение учета Формирование выплат Требования: Уверенный пользователь ПК Честность Трудолюбие Навыки работы с программами Word и Excel на начальном уровне Стремление к быстрой обучаемости и готовность выйти на работу в кратчайшие сроки Ссылка на вакансию в банке вакансий на gsz.gov. by:
Администратор;ЗАО МедВайз;От 1 500 Br за месяц на руки;Два раза в месяц;1 3 года;Полная занятость;Не указано;2/2;12;На месте работодателя;Не указаны;https://grodno.rabota.by/vacancy/132186372;"Обязанности: прием телефонных звонков; предоставление клиентам информации о работе учреждения; запись пациентов на прием; оформление необходимой документации, составление отчетов; ведение клиентской базы; встреча клиентов учреждения; координация деятельности врачей и прочего персонала медучреждения; проведение работы, направленной на предотвращение и ликвидацию всякого рода конфликтных ситуаций. Требования: высшее образование; коммуникабельность, грамотная речь, дисциплинированность и ответственность, оптимизм и энергичность, приветливость и вежливость в общении, уверенный пользователь ПК, исполнительность, быстрая обучаемость, стрессоустойчивость. Условия: Стабильная компания график работы 2\2 достойная оплата и бонусы по результатам дружный молодой коллектив официальное трудоустройство полный социальный пакет"
Администратор пункта выдачи OZON (Гродно);ООО Плэй хард;От 1 400 Br за месяц на руки;Не указано;Не требуется;Полная занятость;Трудовой договор;2/2;12;На месте работодателя;Не указаны;https://grodno.rabota.by/vacancy/132190267;"Требуется сотрудник в пункт выдачи OZON по адресу: город Гродно, улица Дзержинского, 113 Обязанности: Выдача заказов: быстрое обслуживание клиентов, сканирование штрих-кодов, выдача товаров (работа с кассой не требуется) . Прием товара: приемка поступающих от курьеров заказов, размещение товара на стеллажах. Возвраты: оформление возвратов товаров от клиентов согласно стандартам OZON. Складской учет: участие в проведении инвентаризаций (план-факт, пересчет товара) . Порядок: поддержание чистоты в помещении пункта выдачи и на рабочем месте Требования: Внимательность и стрессоустойчивость (работа с большим потоком людей) . Базовый уровень владения ПК (уверенный пользователь, работа в в программе OZON) . Ответственность, порядочность, аккуратность . Без опыта работы рассмотрим кандидатов без опыта работы. Мы предлагаем: Работу в динамично развивающейся компании Комфортный график работы: 2/2, 09:00-21:00 Действующий проект ""Приведи Друга"" получи бонус к заработной плате Своевременную выплату заработной платы (2 раза в месяц на банковскую карту) С первого рабочего дня официальное трудоустройство в соответствии с трудовой кодекс Полный социальный пакет, предусмотренный Трудовым законодательством (официальный отпуск, оплачиваемый больничный и т.д.) Ссылка на вакансию в банке вакансий на gsz.gov. by: в процессе размещения"
Специалист по продажам;ООО Белфлекс;До 6 000 Br за месяц до вычета налогов;Два раза в месяц;1 3 года;Полная занятость;Не указано;5/2;8;На месте работодателя, Права категории B;Активные продажи, Деловое общение, Холодные продажи, Работа с CRM, Выявление потребностей, Заключение договоров, Подготовка коммерческих предложений, Деловая переписка, B2B Продажи, Телефонные переговоры, Продажи корпоративным клиентам, Пользователь ПК;https://grodno.rabota.by/vacancy/132172824;"ООО «Белфлекс» это динамично развивающаяся компания с 10-летним опытом работы в сфере поставок промышленных рукавов, шлангов и соединений на всей территории СНГ. Мы успешно сотрудничаем с ведущими предприятиями всех отраслей промышленности в Беларуси, России и Казахстане, разрабатывая и поставляя продукты, соответствующие мировым стандартам. Мы приглашаем энергичного, быстрого, позитивного сотрудника, который не любит менять работу, любит продажи, хочет работать в режиме непрерывного профессионального роста и достичь материального благополучия. Обязанности: Активный поиск и привлечение новых клиентов; Ведение клиентов в CRM, контроль всех этапов сделки; Развитие долгосрочных отношений с клиентами, поддержка на всех этапах сотрудничества; Прием и обработка входящих заказов, консультирование клиентов; Контроль дебиторской задолженности; Проведение переговоров, заключение договоров; Выполнение планов и нормативов по продажам. Требования: Готовность продавать и активно обучаться, осваивая новые знания и навыки; Уверенный пользователь ПК, базовые знания пакетов MS Office (Word & Excel); Стремление к высокому заработку без ограничений; Умение быстро разбираться в деталях и предлагать клиентам наилучшие решения; Приветствуется наличие ВУ категории B (краткосрочные командировки по РБ, не более 3 дней в месяц) Мы предлагаем: Конкурентоспособный уровень дохода: оклад + премия за выполнение нормативов + % Стабильную зарплату, всегда вовремя (2 раза в месяц) График работы с 8.30 до 17.00 пн-пт. Системное обучение по продуктам компании и продажам, а также всестороннюю поддержку на всех этапах работы Молодой и дружный коллектив Адекватный менеджмент, который понимает и поддерживает своих сотрудников Реальные возможности карьерного роста Бонусы за результативность Официальное трудоустройство и соц. пакет. Испытательный срок - 3 мес. (с возможностью досрочного перехода в штат) * вакансия на перспективу расширения штата"
Менеджер по продажам;СООО Белавтомазсервис;От 2 500 Br за месяц на руки;Два раза в месяц;Не требуется;Полная занятость;Трудовой договор;5/2;8;На месте работодателя или разъездной, Права категории B;Активные продажи, Ведение переговоров, Деловое общение, Телефонные переговоры, Поиск и привлечение клиентов, Выявление потребностей, Заключение договоров;https://grodno.rabota.by/vacancy/132166919;"Компания СООО «БЕЛАВТОМАЗСЕРВИС» 30 лет лидирует на рынке поставщиков автозапчастей к отечественной грузовой технике и оказании услуг по техническому обслуживанию и ремонту. Наша компания имеет 15 собственных СТО по грузовой автотехнике, а также 45 магазинов, систему центральных и региональных складов, собственную логистику поставок. Мы приглашаем кандидатов на должность менеджера по продажам, и мы ожидаем, что на этой должности Вы обеспечите для компании максимальную выручку от клиентов, за которых будете отвечать. На этой позиции вам предстоит: сопровождать клиентов (юридических лиц) в продаже запчастей и услуг по ремонту грузовых автомобилей; наращивать и развивать объемы продаж с текущими клиентами; возобновлять сотрудничество с неактивными клиентами; проводить встречи и переговоры с клиентами; контролировать выполнение заявок клиентов; контролировать дебиторскую задолженность. Наши требования: высшее образование; отличные коммуникативные навыки, готовность к проведению встреч с клиентами; умение работать на результат, быть готовым к обучению и развитию по направлению деятельности; быть активным, иметь позитивное отношение к миру, открытость, эмпатичность, желание помогать людям, умение выстраивать доверительные и долгосрочные отношения; знание автозапчастей НЕ ТРЕБУЕТСЯ! (консультации по подбору з/ч проводят наши технические специалисты); иметь собственный автомобиль; Мы предлагаем: конкурентную систему мотивации (премия за результат) и возможность влиять на свой доход. Заработная плата: на испытательном сроке 2000 руб., после испытательного срока 2500 руб. + премия за результат; личный ноутбук, корпоративную мобильную связь, CRM систему; обучение системе продаж наших продуктов в корпоративном учебном центре; усилить и «прокачать» личностные навыки важные для работы и жизни; программу адаптации для новичков с первых дней работы в компании; возможности вертикального и горизонтального развития для сотрудников; официальное оформление со всеми соц. гарантиями и выплатами на карту 2 раза в месяц; оплату топлива, амортизации автомобиля; стабильный график работы: пятидневная рабочая неделя с 09.00 до 17.00 (суббота /воскресенье выходной)."
Продавец-консультант;АНКОР, Минск;От 2 000 Br за месяц на руки;Не указано;Не требуется;Полная занятость;Трудовой договор;5/2;8;На месте работодателя;Не указаны;https://grodno.rabota.by/vacancy/132190448;Компания Анкор ищет специалиста на позицию промоутера-консультанта в город Гродно для продвижения продукции компании Huawei. Присоединяйтесь к нашей дружной команде профессионалов. Обязанности : Демонстрация продукта и консультация посетителей в розничной торговой точке Повышение лояльности к бренду потребителей и сотрудников торговой точки Мерчандайзинг и поддержание порядка в торговом зале Отчетность по результатам работы Требования : Обязательное требование - отличные коммуникативные навыки: хорошо поставленная грамотная речь, позитивный настрой, развитая способность к эмпатии Необходимые качества: внимательность, дисциплинированность, бесконфликтность, стрессоустойчивость Навыки в сфере продаж Интерес к рынку мобильных устройств и носимой электроники, техническая грамотность Необходимо иметь Android-смартфон Условия : Высокий уровень дохода - оплата состоит из фиксированной и бонусной частей Оплата отпуска и больничных Программы дополнительной мотивации Профессиональное развитие и обучение Рабочие дни по согласованию. Рабочие часы: 11.00-20.00 (возможны корректировки) Навыки: Грамотная речь Навыки продаж Умение работать в команде Навыки презентации Навыки работы с возражениями Ориентация на результат Вакансия перспективная, планируемая к размещению.
Продавец-кассир в пункт выдачи заказов, город Гродно;Lamoda;1 450 Br за месяц до вычета налогов;Два раза в месяц;Не требуется;Полная занятость;Не указано;5/2;9 и другие варианты;На месте работодателя;Не указаны;https://grodno.rabota.by/vacancy/132175799;Мы предлагаем: Работу в пункте выдачи заказов по адресу: ул. Советских Пограничников, 57. График работы 5/2: вт-пт 12:00 - 21:00, сб 9:00 - 18:00 (выходные воскресенье и понедельник) Добровольное медицинское страхование за счёт компании по истечении 6-и месяцев работы. Оплачиваемую стажировку. Корпоративные скидки на товары Lamoda (15-25% ежемесячно, 40% в месяц дня рождения), скидки от партнеров и программа лояльности с эксклюзивными скидками и спецпредложениями. Привилегии и скидки от BestBenefits. Возможность брать доп. смены и повышать свой доход. Стабильная и прозрачная заработная плата. Поддержка коллег, обучение на период вашей адаптации в компании. Работа в стабильной и узнаваемой компании в индустрии моды. Задачи: Работа в пункте выдачи заказов (прием товара, работа с кассой (терминалом), сдача инкассации). Ведение кассовой книги. Обслуживание покупателей, консультация и помощь при выборе товара. Прием торговых представителей с маршрута - оставшегося товара и выручки, оформление документации. Помощь в оформлении заказов на сайте. Мы ожидаем: Доброжелательность, коммуникабельность, открытость. Ответственность за качество выполняемой работы. Обучаемость и желание обучаться. Умение работать в команде. Опытный пользователь ПК (Word, Excel), почта, знание 1C (будет преимуществом). Наличие опыта приветствуется. *Вакансия, планируемая к созданию и/или замещению (перспективная)
Торговый агент (мерчендайзер);Беллакт-Столица;От 1 000 до 1 450 Br за месяц на руки;Два раза в месяц;Не требуется;Полная занятость;Не указано;5/2;8;Разъездной;Контроль остатков, Ассортиментная матрица;https://grodno.rabota.by/vacancy/132200397;"В связи с расширением штата в компанию ""Беллакт-Столица"" (оптовая продажа продуктов питания, производство соков, морсов и пюре для детского питания) приглашает на работу мерчендайзера (торговый агент) в город Гродно. В круг Ваших задач будет входить: посещение торговых точек; выкладка товара согласно планограмм размещения; ротация продукции на торговых точках; контроль остатков продукции в торговых точках. Что мы ожидаем от Вас: желание работать и развиваться в сфере продаж; энергичность, инициативность; наличие санитарной справки или готовность сделать; умение планировать свою работу, организованность, дисциплинированность. Став частью нашей компании, Вы получите: трудоустройство по законодательству РБ и все социальные гарантии; достойная официальная заработная плата. Выплачивается два раза в месяц; оплата проездного и мобильной связи; возможность карьерного роста; корпоративы 2 раза в год, утренники для детей сотрудников; график работы 5 дней в неделю с 9-00 до 18-00. Ждем ваших откликов и ПОЛНЫХ резюме!"
Кладовщик;ООО ЛогиЛидер;От 1 700 Br за месяц на руки;Два раза в месяц;Не требуется;Полная занятость;Трудовой договор;2/2;Вечерние или ночные смены,12;На месте работодателя;Работа с ТМЦ, Приемка груза, ТСД, Умение работать в коллективе;https://grodno.rabota.by/vacancy/132156319;"Работа мечты для тех, кто любит порядок и точность! Требуются Кладовщики в современный логистический комплекс Что предстоит делать: Быстро и аккуратно принимать машины, проверять груз и оформлять приёмку товаров; Размещать товар на складе согласно правилам адресного хранения и обеспечивать его сохранность; Работать с терминалом сбора данных (ТСД), сканируя товары и обрабатывая возвраты; Выполнять дополнительные поручения руководителя, направленные на поддержание порядка на складе. Кто нам нужен: Люди ответственные, внимательные и пунктуальные, готовые к физическим нагрузкам; Желающие развиваться профессионально и получать достойную оплату своего труда; Опыт работы в аналогичной должности будет вашим преимуществом Какие бонусы мы предоставляем: Корпоративный транспорт (доставка) График 2/2 дневные/ночные смены Профессиональный старт в стабильной компании; Официальное трудоустройство; Обеспечиваем спецодеждой; Карьерный рост внутри компании Начинаешь карьеру кладовщиком, а заканчиваешь начальником склада реально и достижимо! Присоединяйтесь к динамичной команде, где царит уважение к людям и профессионализм в каждом действии! Отправляйте резюме прямо сейчас ждём активных и целеустремленных сотрудников!"
Мерчандайзер-консультант;ООО Филд Форс Групп Бел;До 2 200 Br за месяц на руки;Два раза в месяц;Не требуется;Полная занятость;Не указано;5/2;8;На месте работодателя;Не указаны;https://grodno.rabota.by/vacancy/132146309;"«OPEN Group» одна из крупнейших российских компаний в области управления человеческим капиталом . «OPEN Group» сотрудничает с международными компаниями! Наш партнер MAKITA стремится сделать жизнь наших пользователей проще и удобнее, предлагая инновационные решения в различных сферах. В связи с расширением направления в области садового и строительного инструмента , ищет талантливого и увлеченного Мерчандайзера-консультанта , который станет частью команды. Почему работа с нами выгодна? Удобный график работы: 5/2, выходной: понедельник, вторник; Мотивация: окладная часть + бонусная часть (процент от продаж), в среднем консультанты по продажам получают от 2200 рублей; Оклад 1320 Бонусы 880 Официальное трудоустройство по ТК; Бесплатное корпоративное обучение Что входит в твои обязанности? Предоставление подробной информации о характеристиках и преимуществах различных садовых и строительных инструментов. Помощь покупателям в выборе техники, соответствующей их потребностям. Проведение демонстраций работы устройств и объяснение их функционала. Участие в акциях и промо-мероприятиях для увеличения объема продаж, работа с заказом товара Обеспечение наличия товара на полках, контроль за его состоянием. Участие в инвентаризациях и поддержание порядка на торговом месте. Предоставление рекомендаций по уходу за техникой и её эксплуатации Какие качества нам важны? Ты коммуникабельный, легко находишь общий язык с людьми разных возрастов и предпочтений. Умеешь сохранять спокойствие даже в напряжённой рабочей атмосфере и эффективно справляешься с несколькими задачами одновременно. Готов расти профессионально, открыт новым знаниям и готов учиться новому каждый день. Место работы : Материк Гродно, ул. Белуша 56, Mile Гродно, пр-т Янки Купалы,87 (ТЦ TRINITI), Ома Гродно, ул. М.Горького 91, Гемма Гродно, пр-т Космонавтов 2 Г Присоединяйся к нашей команде и начни карьеру мечты прямо сейчас! Откликайся всему научим и поможем реализовать твой потенциал!"
Водитель автомобиля;СПК Нива-2003;2 000 Br за месяц до вычета налогов;Два раза в месяц;Не требуется;Полная занятость;Трудовой договор;5/2 или по выходным;8;На месте работодателя;Автомобильные перевозки;https://grodno.rabota.by/vacancy/132141697;Обязанности: Технический контроль за состоянием автомобиля (заправка, исправность систем), а также перевозка грузов. Водитель также должен содержать авто в чистоте, заполнять путевые листы и документацию. Права категории В, С, D Требования: Условия: Ссылка на вакансию в банке вакансий на gsz.gov. by:
Водитель грузового автотранспорта категории В;ООО Доставка бай;От 2 500 Br за месяц до вычета налогов;Два раза в месяц;1 3 года;Полная занятость;Трудовой договор;Не указано;Не указано;Разъездной, Права категории B;Не указаны;https://grodno.rabota.by/vacancy/132088539;В транспортную компанию требуются водитель грузового автотранспорта категории В, для доставки грузов по маршруту Гродно-Москва (Московская область)-Гродно. Компания предлагает: стабильную з/пл, стабильную работу, удобное расположение офиса (БЦ «Августовский») и автомобильной базы, собственный транспорт и собственная ремонтная база. Требования к кандидату: опыт работы не менее 1 года, пунктуальность, аккуратность, стрессоустойчивость, знание автомобиля, коммуникабельность. Предпочтительно, наличие рекомендаций с предыдущих мест работы.
Экономист отдела экономического анализа и развития;Главное управление здравоохранения Гродненского областного исполнительного комитета;От 1 800 до 1 900 Br за месяц на руки;Два раза в месяц;3 6 лет;Полная занятость;Не указано;5/2;8;На месте работодателя;Экономический анализ, Бюджетирование, Финансовое планирование, Бюджетирование ФОТ, Работа с большим объемом информации;https://grodno.rabota.by/vacancy/132186007;Обязанности: формирование финансовых планов подготовка статистической отчетности организация процесса планирования и бюджетирования в организациях здравоохранения Требования: Наличие высшего экономического образования, опыт работы в бюджетных организациях умение работать в режиме многозадачности, обрабатывать большой объем информации наличие коммуникативных данных аналитическое мышление Условия: доступ к правовой системе ILEX 5-дневная рабочая неделя, выходные - суббота, воскресенье
Администратор пункта проката;Колумбустур;От 800 Br за месяц на руки;Два раза в месяц;Не требуется;Полная занятость, Стажировка;Трудовой договор;2/2;Вечерние или ночные смены,12;На месте работодателя;Точность и внимательность к деталям, Навыки межличностного общения, Умение работать в коллективе;https://grodno.rabota.by/vacancy/132139740;ВАКАНСИЯ: работа в атмосферном месте у озера Ищем классных людей в наш проект на Юбилейном озере стильный домик с арендой сапбордов и сапмаранов. Это не просто работа, а место с настроением, природой и красивой картинкой каждый день. Что нужно делать: выдача сапбордов и сапмаранов общение с клиентами, расчет на кассовом аппарате проведение инструктажа по технике безопасности при необходимости сопровождение клиентов на воде (сплав вместе) поддержание порядка и уюта на локации контроль инвентаря в ночные смены: наблюдение за безопасностью и порядком Условия: график 2/2 (по 12 часов) есть ночные смены работа на свежем воздухе у воды классная атмосфера и команда Мы ищем: ответственных и активных коммуникабельных и приятных в общении тех, кто не боится ответственности и умеет держать порядок будет плюсом уверенность на воде Будет плюсом: опыт работы с людьми любовь к воде, спорту и летнему вайбу Локация: Юбилейное озеро Если хочешь работать в красивом месте, где люди отдыхают и кайфуют тебе к нам Зарплата: 800 руб на руки + премия за выполнение показателей.
Мерчандайзер;ООО Здоровый продукт;От 1 200 Br за месяц на руки;Не указано;Не требуется;Полная занятость;Не указано;5/2;8;Не указано;Не указаны;https://grodno.rabota.by/vacancy/132170855;"В город Гродно требуется мерчандайзер для выкладки продуктов питания в предприятиях торговли города. Требования к кандидату: желание развиваться личностно и профессионально; настойчивость в достижении поставленных целей; коммуникабельность, целеустремленность, дисциплинированность. Должностные обязанности: выкладка продукции в соответствии с планограммой и стандартами компании; контроль сроков годности товара; ведение необходимой документации и отчётности; Компания предлагает: официальное оформление; оплата проезда; обучение внутри компании; перспективы карьерного роста; работа в стабильной Компании Ждем резюме на электронную почту. *Вакансия, планируемая к созданию и/или замещению (перспективная)."
Продавец-консультант;УП ПроКовёр;От 1 000 Br за месяц на руки;Не указано;Не требуется;Полная занятость;Трудовой договор;Не указано;Не указано;На месте работодателя;Розничная торговля, Умение работать в команде, Консультирование клиентов, Грамотная речь, Презентабельный внешний вид, Умение легко находить контакт с людьми, Клиентоориентированность;https://grodno.rabota.by/vacancy/132127733;"Здравствуйте, меня зовут Татьяна! Я рада Вас приветствовать на нашей страничке и хочу вас познакомить с нашей вакансией! У нас более, чем 120 летняя история, мы являемся дочерней компанией ОАО ""Витебские ковры"". Нам нужны активные продавцы-консультанты в наш магазин ""ПроКовёр"" по адресу: город Гродно, ул. Антонова, 29 График работы магазина: с 9 00 до 19 00. Чем вам предстоит заниматься: консультирование покупателей по ассортименту и выбору ковров и ковровых изделий; продажа ковров и ковровых изделий, в т.ч. переносить ковры по торговому залу; осуществление приемки товаров, оформление витрин , выкладка товаров в торговом зале; поддержание чистоты и порядка в торговом зале; расчет покупателей на кассовом терминале (наличный/безналичный). Наш идеальный кандидат: имеет презентабельный внешний вид; энергичный, умеет работать в режиме многозадачности; дружелюбен и позитивен, готов всегда прийти на помощь как покупателям, так и коллегам Работая у нас, мы вам гарантируем: официальное трудоустройство согласно трудовой кодекс; стабильную и всегда своевременную заработную плату; внутреннее обучение за счет компании; возможность карьерного роста; удобный график работы, а также расположение рядом с домом; наставничество и поддержка с первого дня работы - вы не будете одиноки, с вами всегда будет опытный наставник; комфортную корпоративную культуру и условия труда - это уверенность в завтрашнем дне; хороший социальный пакет; доплата за стаж работы в компании; подарки к памятным датам. Наши ценности: открытость и прозрачность во всех процессах; человеческое отношение к друг другу; ценность каждого сотрудника для компании; всестороннее развитие как компании, так и отдельно каждого сотрудника Мы понимаем, что наши Продавцы являются лицом компании. Благодаря их энергетике, доброжелательности, грамотному обслуживанию у Покупателей складывается положительный имидж ""ПроКовёр"" Поэтому для нас важно, чтобы каждый новый сотрудник стал высококвалифицированным специалистом. Мы верим в Вас и ждем в нашей команде, где каждый сотрудник - часть истории успеха! *Вакансия на перспективу."
Комплектовщик-упаковщик;ООО АСДАМА;От 1 300 Br за месяц на руки;Два раза в месяц;Не требуется;Полная занятость;Трудовой договор;5/2;8;На месте работодателя;Ответственное хранение, Точность и внимательность к деталям, Ответственность, Коммуникабельность, Работа в команде, Деловое общение, Складской Учет, Организаторские навыки, Оперативный поиск информации в сети Интернет, Умение планировать;https://grodno.rabota.by/vacancy/132109684;"ООО ""АСДАМА"" ведущий разработчик в области аддитивных технологий. Мы создаём инновационные решения для 3 D-печати, помогая нашим клиентам воплощать идеи в жизнь. В нашей команде ценятся качество, креативность и желание развиваться. В связи с активным ростом компании и увеличением объёмов заказов мы ищем ответственного и организованного упаковщика-комплектовщика для участия в процессе упаковки и отправки товаров собственного производства, которые реализуются на маркетплейсах. Обязанности: Сканирование товара. Комплектация заказов согласно перечню товаров. Упаковка товаров в коробки или пакеты с соблюдением стандартов. Нанесение маркировки, наклеивание этикеток и штрих-кодов. Проверка правильности сборки заказа перед отправкой. Взаимодействие с коллегами и руководством. Поддержание порядка на складе. Требования: Опыт в упаковке или складской работе приветствуется, но не обязателен. Внимание к деталям и соблюдение сроков. Ответственность, внимательность, аккуратность. Условия: Режим работы (5/2, 2 раза в месяц рабочие сб.вс. С выходными среди недели) Склад находится в отапливаемом помещении, рабочее место оборудовано всей необходимой техникой. Место работы расположено за пределами города. Работа с мелкогабаритными продуктами (косметические товары, БАД, игрушки). Получение премий по результатам работы. Официальное трудоустройство."
