title;company;salary;payment_frequency;experience;employment;hiring_format;schedule;hours;work_format;skills;url;description
Дворник;Гроднооблкиновидеопрокат;От 720 до 900 Br за месяц до вычета налогов;Два раза в месяц;Не требуется;Частичная занятость;Трудовой договор;5/2;Не указано;На месте работодателя;Не указаны;https://grodno.rabota.by/vacancy/131454855;"В кинотеатры города Гродно требуются уборщики территорий на 0, 75 ставки, возможно трудоустройство на полную ставку Обязанности: уборка прилегающей территории; Требования: порядочность; ответственность; Условия: Официальное трудоустройство; Стабильная заработная плата; Социальные гарантии; Возможность получения арендного жилья с арендной платой с понижающим коэффициентом. Ссылка на вакансию в банке вакансий на gsz.gov. by:"
Продавец;ООО Хлебная крама;От 1 250 Br за месяц на руки;Два раза в месяц;1 3 года;Полная занятость, Стажировка;Не указано;2/2;12;На месте работодателя;Работа в команде, оформление документации, Работа с оргтехникой, Торговля, Грамотная речь;https://grodno.rabota.by/vacancy/131635819;Ищем продавца в команду «Хлебной Крамы». Мы - ремесленная пекарня в Гродно. Работаем с хлебом и выпечкой собственного производства, ценим порядок, уважение к покупателю и аккуратность в работе. Что нужно делать: выкладка продукции на витрину продажа хлеба и выпечки собственного производства работа с кассой помощь покупателям в выборе соблюдение стандартов обслуживания и порядка на рабочем месте Что для нас важно: доброжелательность и уважительное общение ответственность внимательность к деталям энергичность пунктуальность опыт работы в продажах приветствуется, но не обязателен Условия: сменный график 2/2 почасовая оплата: 7 руб./час + бонусы стабильная выплата заработной платы место работы: ТЦ Old city скидка для сотрудников на хлеб и выпечку Если вам близок формат живой, современной пекарни и нравится работать с людьми, будем рады видеть вас в команде. Откликайтесь - будем знакомиться.
Кухонный рабочий;ООО Евроторг;От 1 140 до 1 390 Br за месяц до вычета налогов;Не указано;Не требуется;Полная занятость;Не указано;2/2;12;На месте работодателя;Не указаны;https://grodno.rabota.by/vacancy/131822196;"ООО ""Евроторг"" (сеть магазинов «Евроопт», «Хит!» и «Грошык») ПРИГЛАШАЕТ НА РАБОТУ КУХОННОГО РАБОЧЕГО в цех магазина в город Гродно. Обязанности: Уборка производственных и подсобных помещений; Мойка посуды и кухонного инвентаря. Условия работы: Трудоустройство согласно трудовому законодательству Республики Беларусь; Полная занятость, суммированный учет рабочего времени; График работы сменный 2/2 по 12 часов или 5/2 по 8 часов; Социальные гарантии для работников компании; Зарплата указана с учетом ежемесячного сертификата - 120 руб.; Приходи сам, приведи друга и получи 220 рублей; Обеды со скидкой 50%; Материальная помощь в различных жизненных ситуациях, а также к отпуску в размере одной средней месячной заработной платы для сотрудников, отработавших в компании 2 и более лет; Работникам холдинга предоставляется бонусная карта ""Е-плюс.Сотрудник"" с повышенным размером бонусов; Учитывается предыдущий стаж работы в магазинах ""Евроопт"", ""Хит"" и ""Грошык"" для дополнительных выплат; Карьерный рост."
Технолог (мебельное производство);ООО Кронес-Гродно;3 000 Br за месяц на руки;Два раза в месяц;1 3 года;Полная занятость;Трудовой договор;5/2;8;На месте работодателя;Не указаны;https://grodno.rabota.by/vacancy/131264091;"О компании «Кронес-Гродно» это молодой и перспективный производитель мягкой мебели, работающий на мебельном рынке в Беларуси, России и странах Европы. Благодаря постоянному развитию и совершенствованию производственного процесса, а также привлечению в производство мировых передовых технологий, мы динамично наращиваем и расширяем ассортимент нашей продукции. Обязанности разработка и внедрение технологических процессов изготовления мягкой мебели (диванов, кресел, пуфов, банкетки и т. д.); составление технологических карт, инструкций и регламентов для участков: раскрой материалов, швейный цех, сборка каркасов, обивка и финальная сборка; расчёт норм расхода материалов: обивочных тканей, поролона, синтепона, пружинных блоков, деревянных и металлических каркасов; контроль соблюдения технологических процессов на всех этапах производства мягкой мебели; подбор и тестирование новых материалов (обивочные ткани, наполнители, каркасные элементы) и фурнитуры (механизмы трансформации, крепёж); настройка и отладка оборудования для раскроя тканей и поролона, швейных машин, станков для изготовления каркасов; сопровождение заказов от запуска в производство до сдачи готовой продукции: контроль этапов, сроков и качества; выявление и устранение причин брака (неровная обивка, перекосы, дефекты швов, проблемы с механизмами трансформации), разработка мер профилактики; обучение и консультирование производственного персонала по технологическим вопросам и работе с материалами; взаимодействие с дизайнерами и конструкторами для согласования чертежей, лекал и спецификаций; ведение технологической документации и отчётности по проектам мягкой мебели; мониторинг новых технологий и материалов в сегменте мягкой мебели (эргономичные наполнители, износостойкие ткани и т. п.). Требования опыт работы технологом на производстве мягкой мебели. знание технологий изготовления мягкой мебели. понимание свойств материалов: виды обивочных тканей, типы наполнителей (ППУ, латекс, пружинные блоки), конструкции каркасов (дерево, ДСП, металл, фанера); опыт работы с механизмами трансформации (еврокнижка, дельфин, аккордеон и др.); владение программами для проектирования мягкой мебели: «Solidworks», AutoCAD, а также программами для раскроя тканей и лекал (например, Grafis, Assyst); навыки работы с оборудованием для мягкой мебели: швейные машины, раскройные станки, прессы для обивки; знание ГОСТ, ТУ и стандартов качества мягкой мебели (прочность каркасов, износостойкость обивки, безопасность механизмов); аналитическое мышление, внимание к деталям, ответственность; умение читать чертежи, составлять лекала и схемы сборки. Мы предлагаем конкурентную зарплату и своевременные выплаты (2 раза в месяц), оклад 2000 руб., премия 1000 руб.; официальный трудовой договор по трудовой кодекс; работу на современном производстве с новым оборудованием для изготовления мягкой мебели; возможности для профессионального роста и освоения новых технологий в сегменте мягкой мебели; Как откликнуться Отправьте резюме на указанный в разделе ""Контактные данные"" данного объявления, с темой «Технолог мебельного производства (мягкая мебель) [Ваша фамилия]» . В резюме укажите: опыт работы на аналогичной должности (годы, тип производства: серийное/индивидуальное, ассортимент изделий); ключевые проекты или достижения (оптимизация процессов, снижение брака, внедрение новых материалов или технологий, запуск новых моделей диванов/кресел); перечень программ, которыми владеете, и уровень владения; примеры реализованных проектов (фото/ссылки опционально); Ссылка на вакансию в банке вакансий на gsz.gov. by:"
Ведущий инженер отдела перевозок;ОАО Гроднооблавтотранс;От 2 000 Br за месяц до вычета налогов;Два раза в месяц;1 3 года;Полная занятость;Не указано;5/2;8;На месте работодателя;Транспортная логистика, Работа с большим объемом информации, Деловая переписка, Деловая коммуникация, Сбор и анализ информации;https://grodno.rabota.by/vacancy/131622634;"Должностные обязанности: координация и контроль работы по направлению пассажирских перевозок; подготовка отчетности и иной информации; рассмотрение обращений по вопросам, касающимся пассажирских перевозок во всех видах сообщения; оказание информационных и консультационных услуг по вопросам, связанным с организацией работы автомобильного пассажирского транспорта во всех видах сообщения. Требования: высшее образование, желательно профильное образование в области транспортной логистики; знание нормативных правовых актов, методических материалов, регламентирующих пассажирские перевозки; ответственность; умение работать с большим объемом информации; грамотная письменная и устная речь, развитые коммуникативные навыки, уверенный пользователь ПК. Условия: комфортный офис в центре города; официальное трудоустройство с первого дня, выплата заработная плата регулярно на карту; активный небезразличный коллектив и опытные руководители; график работы: 5/2 с 08:00 до 17:00, в пт.до 16.30; ДМС после 1-го года работы Ссылка на вакансию в банке вакансий на gsz.gov. by:"
Кухонный рабочий;Производственный кооператив имени В.И. КРЕМКО;От 1 050 до 1 250 Br за месяц до вычета налогов;Два раза в месяц;Не требуется;Полная занятость;Не указано;3/3;11;На месте работодателя;Не указаны;https://grodno.rabota.by/vacancy/131164776;Обязанности: мойка цехов (стены, пол), кухонного инвентаря фасовка субпродуктов, Требования: ответственность исполнительность Ссылка на вакансию в банке вакансий на gsz.gov. by:
Инженер-механик по ремонту и обслуживанию сложной сельскохозяйственной техники;ООО ПолымяАгро;От 2 000 до 6 000 Br за месяц на руки;Два раза в месяц;1 3 года;Полная занятость;Не указано;5/2;8;Разъездной;Не указаны;https://grodno.rabota.by/vacancy/131489639;Обязанности: Гарантийное и послегарантийное обслуживание сельскохозяйственной техники импортного производства. Диагностика и ремонт, выявление неисправностей. Требования: Знание принципов работы импортной сельскохозяйственной прицепной и самоходной техники. Чтение электрических и гидравлических схем приветствуется. Опыт ремонту ДВИГАТЕЛЕЙ Наличие Вод удостоверения обязательно. Образование высшее техническое образование Условия: Разъездной характер работы, предоставление служебного транспорта, мобильная связь, работа по РБ (Минск, Брест, Гродно, Гомель)
Начальник отдела охраны труда и чрезвычайных ситуаций;ОАО Агрокомбинат Скидельский;От 2 500 до 3 000 Br за месяц на руки;Два раза в месяц;1 3 года;Полная занятость;Не указано;5/2;8;На месте работодателя;Не указаны;https://grodno.rabota.by/vacancy/131336585;"Обязанности: осуществлять контроль по охране труда структурных подразделений, соблюдение законодательства о охране труда ; проводить мероприятия по улучшению условий охраны труда ; осуществлять проведение необходимых осмотров, испытаний, технических освидетельствований оборудования и средств защиты. Требования: высшее образование; опыт работы на руководящей должности от 1 года до 3 лет. Условия: медицинская страховка; ежемесячное бесплатное горячее питание либо отоваривание в магазине на фиксированную сумму; Полный социальный пакет, подарки к праздникам и гарантированные выплаты; Доставка работников к месту работы и обратно осуществляется транспортом предприятия"
Повар;ООО Элкофф-ВТА;От 1 500 Br за месяц на руки;Два раза в месяц;Не требуется;Полная занятость;Не указано;2/2;12;На месте работодателя;Общественное питание, Приготовление горячих блюд, Соблюдение санитарно-гигиенических норм в местах общественного питания, Приготовление блюд европейской кухни;https://grodno.rabota.by/vacancy/131470460;Требования: Пунктуальность, умение и желание работать в коллективе, Знание и соблюдение санитарных норм и требований Чистоплотность Желание работать и развиваться Условия: Полный соц-пакет
Старший контролер-кассир;ООО Евроторг;От 1 740 до 2 040 Br за месяц до вычета налогов;Не указано;1 3 года;Полная занятость;Не указано;2/2;12;На месте работодателя;Не указаны;https://grodno.rabota.by/vacancy/123506329;"ООО ""Евроторг"" (сеть магазинов ""Евроопт"", ""Хит!"" и ""Грошык"") приглашает на работу СТАРШИХ КОНТРОЛЕРОВ-КАССИРОВ в магазины город Гродно ОБЯЗАННОСТИ: Сверка суммы денежной выручки с показаниями кассовых счетчиков и в течение дня снятие показаний счетчиков суммирующих аппаратов и пересчет наличных денег в кассе, При необходимости работа в кассе; Разрешение спорных вопросов с потребителями в отсутствие администрации; Руководство работой контролеров-кассиров; Подготовка кассиров и их рабочих мест к началу рабочей смены; Подготовка к проведению ежедневной инкассации наличной денежной выручки; Оформление и проведение безналичного расчёта в магазине; Оформление документации при возврате наличных денежных средств покупателю; Проведение инвентаризации наличных денег с покупюрной описью и других ценностей, находящихся в кассе данного магазина с оформлением соответствующих документов. ТРЕБОВАНИЯ: Наличие опыта работы контролером-кассиром не менее 1 года (возможно обучение); Наличие присвоения 4, 5 или 6 разрядов контролера-кассира (желательно); Наличие профессионально-технического образования по профессии ""Контролер-кассир"" 4-го разряда приветствуется. УСЛОВИЯ: Трудоустройство согласно трудовому законодательству Республики Беларусь; Полная занятость, суммированный учет рабочего времени; Удобный сменный график работы; Социальные гарантии для работников компании; Зарплата указана с учетом ежемесячного сертификата - 120 рублей; Приходи сам, приведи друга и получи 220 рублей; Обеды со скидкой 50%; Комфортные условия труда (фирменная одежда, удобные раздевалки, душевые, комнаты отдыха и приёма пищи); Материальная помощь в различных жизненных ситуациях, а также к отпуску в размере одной средней месячной заработной платы для сотрудников, отработавших в компании 2 и более лет; Работникам холдинга предоставляются бонусная карта ""Е-плюс. Сотрудник"" с повышенным размером бонусов; Учитывается предыдущий стаж работы в магазинах ""Евроопт"", ""Хит"" и ""Грошык"" для дополнительных выплат; Карьерный рост."
Грузчик (д. Таборы, холодный склад);ЗАО Доброном;От 2 209 до 3 200 Br за месяц до вычета налогов;Не указано;Не требуется;Полная занятость;Не указано;Не указано;Не указано;Не указано;Не указаны;https://grodno.rabota.by/vacancy/125374556;"Сеть магазинов «Копеечка», «Маяк», «Доброном» приглашает на постоянное место работы ГРУЗЧИКОВ в РАСПРЕДЕЛИТЕЛЬНЫЙ ЦЕНТР (д.Таборы, холодный склад) Мы предлагаем: Иногородним предоставляется возможность бесплатного проживания! удобный график работы 4 день/ 4 выходных; 2 день 2 ночь 4 выходных; официальное оформление, все социальные гарантии; компенсация затрат на предварительный медицинский осмотр; удобная корпоративная форма, отапливаемый склад, комната приема пищи, душевые; наличие Профсоюзной организации в компании: материальная помощь в различных жизненных ситуациях, организация экскурсий, корпоративных мероприятий, приятные Бонусы; доставка корпоративным транспортом от ст.м. Каменная горка, от ст.м. Могилевская, ст.метро Уручье, ДС Карбышева; Организуем доставку из Дзержинска и Фаниполи. Скидки и бонусы в рамках программы лояльности для работников в сети магазинов ""Доброном"" и ""Копеечка"", а также в сети партнеров. Обязанности: погрузочно-разгрузочные работы; Требования: желание работать; ответственность; Ждем Вас в свою команду! Общереспубликанский банк вакансий:"
